Player,Nation,Pos,Team,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Josep Martinez,ESP,GK,Inter,26,1998,5,5,450,5.0,3,0.60,14,11,78.6,4,1,0,3,60.0,0,0,0,0,N/A
Alex Meret,ITA,GK,Napoli,27,1997,34,34,"3,005",33.4,25,0.75,84,59,71.4,21,9,4,16,47.1,4,1,2,1,66.7
Vanja Milinković-Savić,SRB,GK,Torino,27,1997,37,37,"3,330",37.0,42,1.14,173,129,77.5,10,14,13,10,27.0,7,3,4,0,57.1
Lorenzo Montipò,ITA,GK,Hellas Verona,28,1996,36,36,"3,240",36.0,64,1.78,161,97,61.5,9,7,20,8,22.2,4,2,1,1,33.3
Juan Musso,ARG,GK,Atalanta,30,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,N/A
Maduka Okoye,NGA,GK,Udinese,24,1999,25,25,"2,250",25.0,40,1.60,110,73,67.3,6,4,15,4,16.0,5,4,0,1,0.0
Daniele Padelli,ITA,GK,Udinese,38,1985,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,N/A
Alberto Paleari,ITA,GK,Torino,31,1992,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,N/A
Rui Patrício,POR,GK,Atalanta,36,1988,3,3,270,3.0,3,1.00,14,11,78.6,2,1,0,1,33.3,0,0,0,0,N/A
Simone Perilli,ITA,GK,Hellas Verona,29,1995,2,2,180,2.0,2,1.00,11,9,81.8,1,0,1,0,0.0,0,0,0,0,N/A
Mattia Perin,ITA,GK,Juventus,31,1992,5,5,450,5.0,3,0.60,16,13,81.3,2,3,0,3,60.0,0,0,0,0,N/A
Semuel Pizzignacco,ITA,GK,Monza,22,2001,9,8,736,8.2,17,2.08,38,22,55.3,1,2,5,1,12.5,0,0,0,0,N/A
Ivan Provedel,ITA,GK,Lazio,30,1994,29,29,"2,610",29.0,42,1.45,92,52,58.7,15,6,8,5,17.2,4,4,0,0,0.0
Ionuț Radu,ROU,GK,Venezia,27,1997,15,15,"1,350",15.0,18,1.20,65,47,76.9,2,7,6,4,26.7,3,3,0,0,0.0
Federico Ravaglia,ITA,GK,Bologna,24,1999,12,11,"1,056",11.7,14,1.19,24,10,45.8,5,2,4,4,36.4,1,1,0,0,0.0
Pepe Reina,ESP,GK,Como,41,1982,12,12,"1,034",11.5,14,1.22,41,27,68.3,3,4,5,2,16.7,1,1,0,0,0.0
Razvan Sava,ROU,GK,Udinese,22,2002,12,12,"1,080",12.0,16,1.33,51,37,74.5,5,4,3,4,33.3,3,3,0,0,0.0
Simone Scuffet,ITA,GK,Napoli,28,1996,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,N/A
Simone Scuffet,ITA,GK,Cagliari,28,1996,13,13,"1,170",13.0,23,1.77,56,33,67.9,3,3,7,1,7.7,5,5,0,0,0.0
Jacopo Seghetti,ITA,GK,Empoli,19,2005,1,1,90,1.0,3,3.00,6,3,50.0,0,0,1,0,0.0,0,0,0,0,N/A
Alen Sherri,ALB,GK,Cagliari,26,1997,7,7,621,6.9,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,N/A
Benjamin Siegrist,SUI,GK,Genoa,32,1992,2,2,152,1.7,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,N/A
Marco Silvestri,ITA,GK,Empoli,33,1991,5,5,450,5.0,11,2.20,27,17,59.3,0,1,4,0,0.0,0,0,0,0,N/A
Łukasz Skorupski,POL,GK,Bologna,33,1991,27,27,"2,364",26.3,33,1.26,82,50,61.0,11,12,4,8,29.6,2,1,1,0,50.0
Yann Sommer,SUI,GK,Inter,35,1988,32,32,"2,880",32.0,29,0.91,110,81,76.4,20,8,4,13,40.6,4,3,1,0,25.0
Marco Sportiello,ITA,GK,Milan,32,1992,2,1,126,1.4,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,N/A
Filip Stankovic,SRB,GK,Venezia,22,2002,16,16,"1,367",15.2,23,1.51,83,60,77.1,2,6,8,0,0.0,5,4,1,0,20.0
Zion Suzuki,JPN,GK,Parma,21,2002,36,36,"3,240",36.8,53,1.47,150,99,68.0,7,15,15,7,19.4,5,5,0,0,0.0
Mile Svilar,SRB,GK,Roma,24,1999,38,38,"3,420",38.0,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0
Pietro Terracciano,ITA,GK,Fiorentina,34,1990,3,3,270,3.0,3,1.00,13,10,76.9,0,3,0,1,33.3,0,0,0,0,N/A
Stefano Turati,ITA,GK,Monza,22,2001,30,30,"2,676",29.7,52,1.75,145,93,65.5,2,7,21,2,6.7,4,2,2,0,50.0
Devis Vásquez,COL,GK,Empoli,26,1998,32,32,"2,880",32.0,45,1.41,125,79,64.8,6,12,14,6,18.8,3,1,1,1,50.0
