Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Lasse Rosenboom,GER,DF,Holstein Kiel,22,2002,19.3,3,0,0,19,12,0,18,19,35,0,0,0,57,30,39,43.5
Max Rosenfelder,GER,DF,Freiburg,21,2003,13.9,2,0,0,9,14,1,9,7,17,0,2,0,60,12,22,35.3
Anthony Rouault,FRA,DF,Stuttgart,23,2001,13.5,1,0,0,18,8,0,1,19,11,0,0,0,63,33,21,61.1
Julian Ryerson,NOR,DF,Dortmund,26,1997,25.1,6,1,1,31,23,0,110,22,30,0,0,0,120,10,23,30.3
Frederik Rønnow,DEN,GK,Union Berlin,31,1992,28.0,2,0,0,0,4,0,0,0,0,0,0,0,32,15,0,100.0
Elias Saad,TUN,"FW,MF",St. Pauli,24,1999,10.0,1,0,0,17,24,7,14,3,13,0,0,0,43,8,22,26.7
Marcel Sabitzer,AUT,MF,Dortmund,30,1994,18.0,3,0,0,12,9,0,23,10,19,0,0,0,58,17,13,56.7
Manolis Saliakas,GRE,"MF,DF",St. Pauli,27,1996,25.7,4,0,0,16,15,0,82,20,22,1,0,0,84,14,11,56.0
Roland Sallai,HUN,"FW,MF",Freiburg,27,1997,0.5,0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0.0
Diadie Samassékou,MLI,MF,Hoffenheim,28,1996,3.2,0,0,0,5,4,0,0,5,5,0,0,0,18,3,6,33.3
Philipp Sander,GER,MF,Gladbach,26,1998,15.6,2,0,0,16,7,0,22,23,17,0,0,0,82,32,19,62.7
James Sands,USA,"MF,DF",St. Pauli,24,2000,5.0,1,0,0,11,5,1,2,5,6,0,0,0,21,17,8,68.0
Leroy Sané,GER,FW,Bayern Munich,28,1996,18.2,2,0,0,16,25,6,51,7,15,1,0,0,82,7,6,53.8
Kaishu Sano,JPN,MF,Mainz 05,23,2000,33.8,3,0,0,16,33,2,11,65,36,0,0,0,190,83,74,52.9
Kauã Santos,BRA,GK,Eint Frankfurt,21,2003,8.5,0,0,0,0,2,0,0,0,0,0,0,1,19,7,0,100.0
Joe Scally,USA,DF,Gladbach,21,2002,28.6,6,0,0,23,48,1,50,16,32,0,1,0,97,24,28,46.2
András Schäfer,HUN,MF,Union Berlin,25,1999,17.0,3,0,0,27,33,0,17,22,26,0,0,0,72,28,19,59.6
Patrik Schick,CZE,FW,Leverkusen,28,1996,18.7,4,0,0,24,23,7,1,4,5,1,0,0,29,45,55,45.0
Stefan Schimmer,GER,"FW,MF",Heidenheim,30,1994,2.7,1,0,0,2,1,2,3,0,0,0,0,0,9,3,15,16.7
Xaver Schlager,AUT,MF,RB Leipzig,26,1997,2.0,1,0,0,4,3,0,1,0,2,0,0,0,8,0,4,0.0
Keven Schlotterbeck,GER,DF,Augsburg,27,1997,14.4,4,1,1,10,11,1,3,15,17,0,2,0,55,40,18,69.0
Nico Schlotterbeck,GER,DF,Dortmund,24,1999,22.0,7,2,1,18,19,0,14,22,24,0,1,0,157,52,27,65.8
Romano Schmid,AUT,MF,Werder Bremen,24,2000,31.5,4,0,0,28,42,3,145,11,25,1,0,0,167,23,28,45.1
Jan Schöppner,GER,MF,Heidenheim,25,1999,29.8,8,0,0,32,20,2,12,43,30,0,0,0,130,57,60,48.7
Marvin Schulz,GER,"MF,DF",Holstein Kiel,29,1995,3.4,3,0,0,6,1,0,12,0,5,0,1,0,18,2,4,33.3
Alexander Schwolow,GER,GK,Union Berlin,32,1992,6.0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,100.0
Léo Scienza,BRA,"FW,MF",Heidenheim,25,1998,12.8,1,0,0,16,63,5,81,5,12,0,0,0,53,3,13,18.8
Nicolas Seiwald,AUT,"MF,DF",RB Leipzig,23,2001,23.2,2,0,0,27,2,0,46,31,31,0,0,0,125,24,34,41.4
Benjamin Šeško,SVN,"FW,MF",RB Leipzig,21,2003,26.4,2,1,1,26,20,18,7,5,3,0,0,0,62,70,49,58.8
Armindo Sieb,GER,"FW,MF",Mainz 05,21,2003,8.5,2,0,0,13,13,10,6,1,4,0,0,0,29,15,25,37.5
Tim Siersleben,GER,DF,Heidenheim,24,2000,13.1,4,0,0,16,7,0,10,20,14,0,1,0,37,20,21,48.8
Kiliann Sildillia,FRA,DF,Freiburg,22,2002,8.9,2,0,0,10,9,1,19,11,10,0,1,0,33,21,22,48.8
André Silva,POR,FW,Werder Bremen,28,1995,4.2,1,0,0,4,7,2,4,0,2,0,0,0,10,12,12,50.0
André Silva,POR,"FW,MF",RB Leipzig,28,1995,1.5,0,0,0,0,2,0,0,1,1,0,0,0,7,1,5,16.7
Mohamed Simakan,FRA,DF,RB Leipzig,24,2000,0.6,0,0,0,0,1,0,1,2,0,0,0,0,3,3,1,75.0
Xavi Simons,NED,MF,RB Leipzig,21,2003,23.9,5,0,0,24,56,5,79,12,21,0,0,0,128,19,26,42.2
Danel Sinani,LUX,"FW,MF",St. Pauli,27,1997,13.9,3,0,0,25,14,4,67,1,11,0,0,0,52,10,32,23.8
Ibrahima Sissoko,MLI,MF,Bochum,26,1997,29.0,11,1,1,75,29,2,21,36,44,1,1,0,154,76,54,58.5
Tim Skarke,GER,"FW,MF",Union Berlin,27,1996,12.9,1,0,0,10,15,10,29,5,11,0,0,0,56,10,40,20.0
Ellyes Skhiri,TUN,MF,Eint Frankfurt,29,1995,24.8,6,0,0,22,19,2,3,31,22,0,0,0,105,19,19,50.0
Leo Skiri Østigård,NOR,DF,Hoffenheim,24,1999,10.3,0,1,0,19,5,1,2,9,7,0,1,1,44,60,32,65.2
Andreas Skov Olsen,DEN,"FW,MF",Wolfsburg,24,1999,5.9,0,0,0,2,3,2,29,2,6,0,0,0,18,3,3,50.0
Steven Skrzybski,GER,"MF,FW",Holstein Kiel,31,1992,14.7,0,0,0,16,22,2,31,11,6,0,0,0,58,6,19,24.0
Anton Stach,GER,"MF,DF",Hoffenheim,25,1998,28.7,8,0,0,38,34,0,24,46,46,0,0,0,171,53,41,56.4
Jens Stage,DEN,MF,Werder Bremen,27,1996,24.5,10,0,0,38,30,4,23,18,30,0,0,0,114,34,26,56.7
Josip Stanišić,CRO,DF,Bayern Munich,24,2000,9.7,0,0,0,2,4,0,11,6,11,0,0,0,64,11,6,64.7
Niklas Stark,GER,DF,Werder Bremen,29,1995,23.4,6,1,1,30,28,2,3,36,21,0,0,0,73,48,31,60.8
Pascal Stenzel,GER,DF,Stuttgart,28,1996,3.2,0,0,0,4,2,0,25,2,2,0,0,0,11,3,6,33.3
Leonidas Stergiou,SUI,DF,Stuttgart,22,2002,9.5,0,1,0,6,0,1,13,14,13,0,0,0,35,6,8,42.9
Angelo Stiller,GER,MF,Stuttgart,23,2001,30.5,6,0,0,21,48,1,95,26,27,1,0,1,140,18,28,39.1
Kevin Stöger,AUT,MF,Gladbach,30,1993,17.2,3,0,0,22,40,1,116,16,21,0,0,0,75,5,15,25.0
Niklas Süle,GER,DF,Dortmund,28,1995,11.7,1,0,0,5,2,0,1,4,12,0,1,0,53,12,6,66.7
Mattias Svanberg,SWE,MF,Wolfsburg,25,1999,13.5,4,0,0,16,22,0,35,15,10,0,0,0,48,12,20,37.5
Haris Tabakovic,BIH,FW,Hoffenheim,30,1994,9.1,0,0,0,15,8,11,4,1,1,0,0,0,13,45,37,54.9
Jonathan Tah,GER,DF,Leverkusen,28,1996,33.0,3,0,0,16,5,0,6,36,12,0,0,0,165,77,23,77.0
Edmond Tapsoba,BFA,DF,Leverkusen,25,1999,27.9,4,0,0,34,6,1,8,24,24,0,1,1,124,54,32,62.8
Mathys Tel,FRA,"FW,MF",Bayern Munich,19,2005,2.8,0,0,0,5,6,1,5,1,2,0,0,0,10,1,0,100.0
Nathan Tella,NGA,"MF,FW",Leverkusen,25,1999,15.1,1,0,0,22,32,10,25,4,11,0,0,0,37,11,25,30.6
Martin Terrier,FRA,"MF,FW",Leverkusen,27,1997,6.5,1,0,0,2,9,2,5,1,2,0,0,0,8,11,13,45.8
Arthur Theate,BEL,DF,Eint Frankfurt,24,2000,30.0,6,1,1,14,23,1,26,39,25,0,0,0,123,54,44,55.1
Phillip Tietz,GER,FW,Augsburg,27,1997,18.7,4,0,0,36,12,16,1,5,6,0,0,0,48,78,85,47.9
Umut Tohumcu,GER,"MF,FW",Hoffenheim,19,2004,4.2,3,0,0,6,6,0,8,3,5,0,0,0,13,0,1,0.0
Tiago Tomás,POR,"FW,MF",Wolfsburg,22,2002,20.9,7,0,0,30,48,6,22,9,19,1,0,0,74,9,30,23.1
Bazoumana Touré,CIV,"FW,MF",Hoffenheim,18,2006,6.8,1,0,0,13,3,7,24,3,10,0,0,0,27,12,17,41.4
Lucas Tousart,FRA,MF,Union Berlin,27,1997,6.2,2,0,0,11,6,0,2,7,9,0,0,0,32,20,15,57.1
Omar Traoré,GER,DF,Heidenheim,26,1998,29.1,7,0,0,23,37,1,107,21,26,0,1,0,136,15,24,38.5
Kevin Trapp,GER,GK,Eint Frankfurt,34,1990,25.5,0,0,0,0,1,0,0,0,0,0,0,0,52,4,3,57.1
Philipp Treu,GER,"MF,DF",St. Pauli,23,2000,32.0,2,0,0,20,36,3,60,19,42,0,0,1,147,21,36,36.8
Lukas Ullrich,GER,DF,Gladbach,20,2004,21.1,4,0,0,22,17,0,47,23,16,0,2,0,73,14,19,42.4
Deniz Undav,GER,"FW,MF",Stuttgart,28,1996,19.2,4,0,0,25,22,12,11,3,10,0,0,0,48,21,31,40.4
Dayot Upamecano,FRA,DF,Bayern Munich,25,1998,19.5,6,0,0,20,11,0,6,34,22,0,0,0,115,59,42,58.4
Jonas Urbig,GER,GK,Bayern Munich,20,2003,8.0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,100.0
Can Uzun,TUR,"MF,FW",Eint Frankfurt,18,2005,7.5,1,0,0,8,16,0,18,1,4,0,0,0,31,5,3,62.5
Maarten Vandevoordt,BEL,GK,RB Leipzig,22,2002,4.8,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,100.0
Ruben Vargas,SUI,"MF,FW",Augsburg,25,1998,3.4,3,0,0,5,3,0,12,2,1,0,0,0,14,3,5,37.5
Nikola Vasilj,BIH,GK,St. Pauli,28,1995,33.0,2,1,1,1,1,0,0,0,0,0,1,0,54,9,0,100.0
Denis Vavro,SVK,DF,Wolfsburg,28,1996,27.3,4,0,0,7,5,0,8,37,13,0,0,0,89,80,34,70.2
Miloš Veljković,SRB,DF,Werder Bremen,28,1995,11.4,1,0,0,5,3,2,9,2,5,0,1,0,32,24,18,57.1
Arthur Vermeeren,BEL,MF,RB Leipzig,19,2005,17.5,7,0,0,22,1,0,3,23,19,0,0,0,94,8,20,28.6
Yorbe Vertessen,BEL,"MF,FW",Union Berlin,23,2001,8.0,2,0,0,14,17,2,23,3,3,0,0,0,32,6,11,35.3
Gabriel Vidovic,CRO,MF,Bayern Munich,20,2003,0.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0.0
Kevin Vogt,GER,DF,Union Berlin,32,1991,15.2,6,0,0,10,7,0,0,9,8,0,1,0,90,14,13,51.9
Kevin Volland,GER,"FW,MF",Union Berlin,32,1992,0.7,1,0,0,3,0,0,0,0,0,0,0,0,2,3,1,75.0
Aster Vranckx,BEL,MF,Wolfsburg,21,2002,6.2,1,0,0,12,11,0,3,10,6,0,0,0,22,7,14,33.3
Robert Wagner,GER,MF,St. Pauli,21,2003,4.5,1,0,0,6,5,0,2,2,3,0,0,0,22,5,7,41.7
Elye Wahi,FRA,"FW,MF",Eint Frankfurt,21,2003,2.2,1,0,0,2,3,4,5,0,0,0,0,0,8,2,8,20.0
Hauke Wahl,GER,DF,St. Pauli,30,1994,33.0,1,0,0,13,15,2,8,31,27,0,0,0,129,47,50,48.5
Paul Wanner,GER,"MF,FW",Heidenheim,18,2005,19.7,2,0,0,23,18,1,52,4,27,0,0,0,90,12,18,40.0
Julian Weigl,GER,MF,Gladbach,28,1995,32.0,8,0,0,23,24,0,11,48,25,0,3,0,133,39,19,67.2
Timon Weiner,GER,GK,Holstein Kiel,25,1999,25.0,4,0,0,1,3,0,0,0,0,0,1,0,43,11,1,91.7
Nelson Weiper,GER,"FW,MF",Mainz 05,19,2005,7.8,2,0,0,19,1,8,6,2,4,0,0,0,20,34,44,43.6
Noah Weißhaupt,GER,"FW,MF",St. Pauli,22,2001,12.9,0,0,0,10,42,6,72,2,4,0,0,0,51,15,19,44.1
Silvan Widmer,SUI,DF,Mainz 05,31,1993,5.6,3,0,0,5,4,2,12,5,5,0,0,0,16,12,14,46.2
Patrick Wimmer,AUT,"MF,FW",Wolfsburg,23,2001,19.7,5,1,0,36,40,6,42,32,35,0,0,0,92,36,49,42.4
Jonas Wind,DEN,"FW,MF",Wolfsburg,25,1999,21.8,2,0,0,15,40,4,7,6,6,0,0,0,59,98,100,49.5
Florian Wirtz,GER,"MF,FW",Leverkusen,21,2003,26.1,3,0,0,22,39,11,101,10,20,1,0,0,113,9,36,20.0
Dani de Wit,NED,"MF,FW",Bochum,26,1998,12.8,1,0,0,24,12,8,8,12,17,2,0,0,36,41,48,46.1
Maximilian Wittek,GER,DF,Bochum,28,1995,30.1,8,0,0,34,34,0,164,27,42,0,0,0,115,23,23,50.0
Marius Wolf,GER,DF,Augsburg,29,1995,23.8,2,0,0,19,14,4,115,24,16,0,0,0,82,8,8,50.0
Nick Woltemade,GER,"FW,MF",Stuttgart,22,2002,18.0,5,1,1,24,35,6,6,1,7,0,0,0,53,47,62,43.1
Jeong Woo-yeong,KOR,"MF,FW",Union Berlin,24,1999,14.0,2,0,0,16,15,4,36,11,7,0,0,0,68,14,27,34.1
Granit Xhaka,SUI,MF,Leverkusen,31,1992,32.1,3,0,0,33,34,0,30,12,26,0,0,1,179,41,26,61.2
Erencan Yardimci,TUR,"FW,MF",Hoffenheim,22,2002,3.5,2,0,0,8,5,5,1,1,3,0,0,0,4,17,29,37.0
David Zec,SVN,DF,Holstein Kiel,24,2000,17.1,5,0,0,21,7,3,1,17,10,0,0,0,76,35,47,42.7
Robin Zentner,GER,GK,Mainz 05,29,1994,32.0,3,0,0,1,2,0,0,0,1,0,1,0,56,8,0,100.0
Cedric Zesiger,SUI,DF,Augsburg,26,1998,13.6,7,1,1,15,7,0,13,21,7,0,0,0,57,27,19,58.7
Cedric Zesiger,SUI,DF,Wolfsburg,26,1998,5.8,4,0,0,14,5,0,3,3,8,0,1,0,16,3,10,23.1
Michael Zetterer,GER,GK,Werder Bremen,29,1995,34.0,2,0,0,0,6,0,0,1,0,0,0,0,42,8,1,88.9
Budu Zivzivadze,GEO,FW,Heidenheim,30,1994,10.6,0,0,0,9,15,6,4,3,11,0,0,0,33,23,63,26.7
Yunis Abdelhamid,MAR,DF,Saint-Étienne,36,1987,11.5,2,0,0,16,6,0,0,14,11,0,0,0,42,19,10,65.5
Himad Abdelli,ALG,"MF,FW",Angers,24,1999,31.6,4,0,0,48,32,3,44,26,32,0,0,0,193,13,20,39.4
Mohamed Abdelmoneim,EGY,DF,Nice,25,1999,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0
Matthis Abline,FRA,FW,Nantes,21,2003,30.8,3,0,0,34,53,5,30,4,5,0,0,0,83,64,76,45.7
Abner,BRA,DF,Lyon,24,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8
Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,24,2000,21.1,4,0,0,35,25,13,33,6,13,2,0,0,61,22,38,36.7
Akor Adams,NGA,FW,Montpellier,24,2000,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9
Martin Adeline,FRA,MF,Reims,20,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0
Adryelson,BRA,DF,Lyon,26,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0
Emmanuel Agbadou,CIV,DF,Reims,27,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1
Jeremy Agbonifo,SWE,"FW,MF",Lens,18,2005,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0
Naouirou Ahamada,FRA,"MF,FW",Rennes,22,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0
Jean-Eudes Aholou,CIV,MF,Angers,30,1994,21.8,7,0,0,50,25,1,2,33,36,0,0,0,100,38,23,62.3
Ayman Aiki,FRA,"FW,MF",Saint-Étienne,19,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0
Ludovic Ajorque,FRA,FW,Brest,30,1994,27.7,5,0,0,61,26,11,7,6,19,2,0,0,62,133,121,52.4
Ümit Akdag,ROU,DF,Toulouse,20,2003,5.6,2,0,0,8,1,0,3,11,4,0,0,0,24,18,7,72.0
Sergio Akieme,ESP,DF,Reims,26,1997,28.0,5,0,0,25,21,1,94,17,23,0,0,0,109,19,26,42.2
Maghnes Akliouche,FRA,"FW,MF",Monaco,22,2002,26.7,2,0,0,31,38,8,53,15,31,0,0,0,131,5,23,17.9
Clément Akpa,CIV,DF,Auxerre,22,2001,27.6,7,0,0,15,35,0,25,42,34,0,1,0,116,38,31,55.1
Chuba Akpom,ENG,FW,Lille,28,1995,7.1,0,0,0,11,15,2,1,0,5,1,0,0,11,17,11,60.7
Mohamed Ali Cho,FRA,"FW,MF",Nice,20,2004,18.0,2,0,0,12,41,9,51,5,9,0,0,0,69,13,27,32.5
Jim Allevinah,GAB,FW,Angers,29,1995,19.4,3,0,0,18,25,10,34,12,11,1,0,0,88,10,24,29.4
Thiago Almada,ARG,"MF,FW",Lyon,23,2001,10.6,3,0,0,10,8,1,47,7,8,1,0,0,56,1,2,33.3
Jordan Amavi,FRA,DF,Brest,30,1994,8.8,2,0,0,15,6,0,15,7,17,0,2,0,35,15,6,71.4
Kelvin Amian,FRA,DF,Nantes,26,1998,24.1,5,0,0,23,11,1,37,13,31,0,0,0,54,21,21,50.0
Michael Amir Murillo,PAN,DF,Marseille,28,1996,27.1,3,0,0,29,26,1,37,18,31,0,1,0,138,42,17,71.2
Mathis Amougou,FRA,MF,Saint-Étienne,18,2006,9.5,2,0,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0
Benjamin André,FRA,MF,Lille,33,1990,29.9,12,0,0,50,49,3,16,48,57,1,0,0,189,94,82,53.4
Dennis Appiah,FRA,DF,Saint-Étienne,32,1992,23.6,2,0,0,37,9,2,52,29,43,0,2,0,90,27,31,46.6
Carlens Arcus,HAI,DF,Angers,28,1996,22.7,3,0,0,38,21,1,55,27,35,0,0,0,81,31,25,55.4
Hákon Arnar Haraldsson,ISL,"MF,FW",Lille,21,2003,19.5,3,0,0,19,27,3,59,8,16,1,0,0,71,2,14,12.5
Marco Asensio,ESP,"FW,MF",Paris S-G,28,1996,6.9,0,0,0,1,4,3,13,0,3,0,0,0,18,1,2,33.3
Dehmaine Assoumani,FRA,"MF,FW",Nantes,19,2005,1.1,0,0,0,1,4,0,6,1,3,0,0,0,8,2,3,40.0
Valentin Atangana Edoa,FRA,MF,Reims,18,2005,31.7,7,0,0,57,50,8,17,37,50,0,0,0,117,47,34,58.0
Florian Ayé,FRA,FW,Auxerre,27,1997,6.4,0,0,0,10,6,3,2,7,2,0,0,0,14,13,37,26.0
André Ayew,GHA,FW,Le Havre,34,1989,16.1,2,0,0,19,30,6,7,3,10,0,0,0,26,37,63,37.0
Neil El Aynaoui,FRA,MF,Lens,23,2001,17.6,4,0,0,34,32,0,65,30,21,0,0,0,90,24,15,61.5
Shavy Babicka,GAB,"MF,FW",Toulouse,24,2000,13.2,2,0,0,16,21,7,39,3,12,0,0,0,54,7,17,29.2
Juma Bah,SLE,DF,Lens,18,2006,7.6,2,0,0,7,1,0,0,17,10,0,0,0,37,23,6,79.3
Theo Bair,CAN,FW,Auxerre,24,1999,10.4,1,0,0,20,5,8,7,3,3,0,0,0,15,55,46,54.5
Mitchel Bakker,NED,"FW,DF",Lille,24,2000,12.7,3,1,0,18,9,4,68,12,13,0,0,0,46,3,10,23.1
Dilane Bakwa,FRA,"MF,DF",Strasbourg,21,2002,27.7,4,0,0,29,71,5,153,15,14,0,0,0,92,11,8,57.9
Leonardo Balerdi,ARG,DF,Marseille,25,1999,25.3,9,1,1,28,20,0,2,38,39,0,0,1,161,39,21,65.0
Folarin Balogun,USA,FW,Monaco,23,2001,6.8,0,0,0,7,9,8,5,1,1,0,0,0,15,4,20,16.7
Abdoulaye Bamba,CIV,DF,Angers,34,1990,16.8,2,0,0,10,7,0,5,19,12,0,0,0,47,11,17,39.3
Mohamed Bamba,CIV,MF,Reims,19,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0
Valentín Barco,ARG,"MF,DF",Strasbourg,20,2004,12.9,2,0,0,17,29,0,31,13,22,0,1,0,79,7,7,50.0
Bradley Barcola,FRA,FW,Paris S-G,21,2002,24.2,2,0,0,30,22,7,25,19,17,0,0,0,67,14,7,66.7
Gabriel Bares,SUI,"MF,DF",Montpellier,23,2000,0.6,0,0,0,0,1,0,1,1,2,0,0,0,1,0,1,0.0
Dylan Batubinsika,COD,DF,Saint-Étienne,28,1996,22.4,3,1,0,24,13,0,1,39,13,0,3,1,76,45,17,72.6
Haris Belkebla,ALG,MF,Angers,30,1994,19.9,1,0,0,18,32,1,3,35,38,0,0,0,90,8,21,27.6
Yassin Belkhdim,FRA,MF,Angers,22,2002,16.9,4,0,0,28,15,2,16,21,27,0,0,0,74,5,15,25.0
Eliesse Ben Seghir,MAR,"MF,FW",Monaco,19,2005,19.4,0,0,0,25,55,2,52,13,22,0,0,0,86,13,22,37.1
Ismaël Bennacer,ALG,MF,Marseille,26,1997,7.2,2,0,0,19,11,0,28,10,10,0,0,0,50,2,4,33.3
Nabil Bentaleb,ALG,MF,Lille,29,1994,3.7,0,0,0,3,1,0,6,5,3,0,0,0,20,3,3,50.0
Lucas Beraldo,BRA,DF,Paris S-G,20,2003,22.3,6,0,0,22,9,1,3,21,31,0,1,0,115,45,21,68.2
Maxime Bernauer,FRA,DF,Saint-Étienne,26,1998,8.5,4,1,1,10,4,0,0,5,9,0,1,0,37,11,7,61.1
Mika Biereth,DEN,FW,Monaco,21,2003,13.6,0,0,0,19,30,6,8,4,5,1,0,0,23,18,29,38.3
Emmanuel Biumla,FRA,DF,Angers,19,2005,14.8,2,0,0,7,10,0,0,8,12,0,1,0,37,16,12,57.1
Marco Bizot,NED,GK,Brest,33,1991,32.0,4,0,0,1,5,0,0,0,1,0,0,0,34,5,0,100.0
Ludovic Blas,FRA,"MF,FW",Rennes,26,1997,25.5,6,0,0,31,54,1,124,13,25,1,0,0,88,11,37,22.9
Augustine Boakye,GHA,"FW,MF",Saint-Étienne,23,2000,8.1,5,0,0,19,7,3,5,6,3,0,0,0,27,5,14,26.3
Jeremie Boga,CIV,"MF,FW",Nice,27,1997,11.7,0,0,0,1,17,5,21,3,5,0,0,0,44,3,4,42.9
Moïse Bombito,CAN,DF,Nice,24,2000,24.4,3,1,1,28,13,0,2,18,25,0,1,1,97,48,52,48.0
Saïmon Bouabré,FRA,"MF,FW",Monaco,18,2006,1.1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,3,0.0
Ayyoub Bouaddi,FRA,MF,Lille,16,2007,12.8,2,0,0,18,9,0,3,10,31,0,0,0,62,9,9,50.0
Badredine Bouanani,ALG,"MF,FW",Nice,19,2004,12.2,2,0,0,13,17,2,33,11,4,0,0,0,44,2,16,11.1
Benjamin Bouchouari,MAR,MF,Saint-Étienne,22,2001,19.7,6,0,0,15,42,0,9,17,27,0,1,0,119,6,17,26.1
Hicham Boudaoui,ALG,MF,Nice,24,1999,27.1,9,0,0,41,51,3,17,22,52,1,0,0,175,16,34,32.0
Justin Bourgault,FRA,DF,Brest,18,2005,1.4,0,0,0,1,1,0,4,0,1,0,0,0,11,1,2,33.3
Benjamin Bourigeaud,FRA,MF,Rennes,30,1994,0.9,0,0,0,0,0,0,6,2,0,0,0,0,4,2,2,50.0
Lilian Brassier,FRA,DF,Marseille,24,1999,8.7,3,0,0,7,3,0,5,9,6,0,0,0,38,17,7,70.8
Lilian Brassier,FRA,DF,Rennes,24,1999,13.7,1,0,0,9,12,0,9,22,12,0,1,0,59,30,8,78.9
Aurélio Buta,POR,DF,Reims,27,1997,21.9,5,0,0,32,27,3,32,22,24,0,1,0,69,12,15,44.4
Marcin Bułka,POL,GK,Nice,24,1999,34.0,0,0,0,0,5,0,0,0,0,0,0,0,62,8,0,100.0
Rémy Cabella,FRA,"FW,MF",Lille,34,1990,11.2,1,0,0,16,19,2,60,8,19,1,1,0,63,3,8,27.3
Mathieu Cafaro,FRA,"MF,FW",Saint-Étienne,27,1997,8.1,3,1,0,11,14,3,27,7,7,0,1,0,30,3,4,42.9
Duje Ćaleta-Car,CRO,DF,Lyon,27,1996,17.6,8,0,0,27,9,2,1,17,12,0,0,0,65,39,12,76.5
Issiaga Camara,GUI,MF,Nice,19,2005,0.2,0,0,0,0,2,0,0,3,1,0,0,0,4,0,1,0.0
Lamine Camara,SEN,MF,Monaco,20,2004,22.8,10,1,1,45,39,0,118,31,41,0,0,0,153,21,21,50.0
Mahdi Camara,FRA,"MF,FW",Brest,26,1998,29.5,5,0,0,41,46,3,46,33,40,1,0,0,98,17,31,35.4
Ousmane Camara,FRA,DF,Angers,21,2003,2.8,1,0,0,1,0,0,0,0,3,0,0,0,6,4,3,57.1
Axel Camblan,FRA,"MF,FW",Brest,20,2003,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
Pierrick Capelle,FRA,MF,Angers,37,1987,5.4,4,0,0,12,3,1,10,11,17,0,0,0,28,3,5,37.5
Maxence Caqueret,FRA,MF,Lyon,24,2000,6.4,1,0,0,4,6,1,6,7,11,0,0,0,24,1,3,25.0
Valentin Carboni,ARG,"MF,FW",Marseille,19,2005,1.1,1,0,0,5,1,0,2,1,2,0,0,0,2,2,1,66.7
Irvin Cardona,FRA,FW,Saint-Étienne,26,1997,11.8,2,0,0,12,10,3,31,4,5,0,0,0,26,10,8,55.6
Patrik Carlgren,SWE,GK,Nantes,32,1992,4.6,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
Josué Casimir,FRA,"FW,MF",Le Havre,22,2001,22.2,5,0,0,28,46,8,85,7,26,3,0,0,83,9,23,28.1
Cristian Cásseres Jr.,VEN,MF,Toulouse,24,2000,30.0,11,0,0,53,46,1,80,42,61,0,0,0,172,24,17,58.5
Enzo Caumont,FRA,MF,Angers,20,2004,0.4,1,0,0,1,0,0,0,1,1,0,0,0,2,1,1,50.0
Fabien Centonze,FRA,DF,Nantes,28,1996,2.9,0,0,0,2,2,1,11,2,4,0,0,1,8,6,4,60.0
Brendan Chardonnet,FRA,DF,Brest,29,1994,26.8,6,0,0,36,20,0,3,29,33,0,0,1,91,58,38,60.4
Théo Chennahi,FRA,DF,Montpellier,19,2005,2.0,2,0,0,3,2,0,2,2,3,0,0,0,11,1,2,33.3
Sidiki Cherif,FRA,FW,Angers,17,2006,3.6,0,0,0,4,8,5,4,0,5,0,0,0,10,3,16,15.8
Rayan Cherki,FRA,"FW,MF",Lyon,20,2003,22.7,3,0,0,16,34,3,118,7,12,0,0,0,83,4,8,33.3
Lucas Chevalier,FRA,GK,Lille,22,2001,34.0,0,0,0,0,7,0,0,0,2,0,0,0,70,6,0,100.0
Pedro Chirivella,ESP,MF,Nantes,27,1997,26.1,6,0,0,25,16,0,19,19,29,0,0,0,116,10,14,41.7
Joris Chotard,FRA,MF,Montpellier,22,2001,21.0,5,0,0,16,10,1,30,19,27,0,1,0,90,16,11,59.3
