GA,Command_index,Market_Value_Numeric,GA90,Save_consistency,League_strength,Shot_stopping_index,PKatt,Adj_GA90,Starts,MP,Goals_prevented,Saves_per_90,Mins_per_match,L,90s,Experience,W,SoTA,CS,D,Adj_save%,Born,Min,Top_team_experience,Market_value_driver,Age,Shots_faced_per_90,PKA,Saves
27,0.3295563288386255,500000.0,1.42,0.9994701637812596,0.74953,0.4106829706717124,1,1.8945205662214986,19,19,-2.432000000000002,2.5789473684210527,90.0,4,19.0,6.328108282808365,10,76,3,5,0.49319073999999996,1987,1710.0,0,1.5667027785064287,37,4.0,1,49
9,0.4559583259164066,15000000.0,0.67,0.9929974584639314,0.74953,0.6039997634815516,2,0.8938935065974678,14,14,2.5500000000000025,1.791044776119403,86.14285714285714,1,13.4,6.741098560042655,9,34,5,4,0.57339045,2000,1206.0,0,1.7485622107061758,23,2.5373134328358207,1,24
39,0.4291726116306923,6000000.0,1.22,0.9949876957659982,0.74953,0.6653264900662252,8,1.6276866836550905,32,32,8.246000000000008,2.90625,90.0,10,32.0,7.9658927350845286,10,133,8,12,0.56364656,1996,2880.0,0,2.0082889714477576,28,4.15625,6,93
6,0.3734159779614325,1800000.0,1.0,0.9996400513506576,0.74953,0.5087842951750237,0,1.3341694128320414,6,6,0.20000000000000018,2.3333333333333335,90.0,2,6.0,6.293419278846481,3,20,2,1,0.524671,1997,540.0,0,1.6050653535709127,27,3.3333333333333335,0,14
42,0.44978658809829086,,1.62,0.9995173004833887,0.74953,0.4911853358561968,8,2.161354448787907,27,27,1.6640000000000015,3.281853281853282,86.48148148148148,13,25.9,7.0581377629927875,6,128,3,8,0.52691959,1989,2335.0,0,1.7709420671727991,35,4.942084942084942,4,85
33,0.3128099173553719,7500000.0,1.51,0.9999999994108775,0.74953,0.44314243140964993,4,2.0145958133763826,22,22,-0.8460000000000008,2.8440366972477062,89.18181818181819,5,21.8,7.5822291942764615,11,94,2,6,0.5104299299999999,1998,1962.0,0,1.8247011691875128,25,4.311926605504587,3,62
29,0.38174931129476586,20000000.0,0.97,0.9952648769885244,0.74953,0.645320009460738,3,1.29414433044708,30,30,6.2400000000000055,2.533333333333333,90.0,4,30.0,7.901377353792616,20,104,11,6,0.5621475,1992,2700.0,1,2.076527801893473,32,3.466666666666667,3,76
6,0.2900826446280992,2500000.0,1.5,0.9904826916409271,0.74953,0.39640482497634816,2,2.001254119248062,4,4,-1.2839999999999998,1.5,90.0,2,4.0,5.8888779583328805,0,12,0,2,0.43697599,1993,360.0,0,1.463990941565323,30,3.0,1,6
49,0.3682076446280992,,1.53,0.9984831968017015,0.74953,0.5583966414380321,8,2.0412792016330235,32,32,4.5000000000000036,3.21875,90.0,13,32.0,7.9658927350845286,8,150,10,11,0.5396616,1992,2880.0,0,1.9556222826772418,32,4.6875,7,103
0,0.5400826446280992,700000.0,0.0,0.9076506200815612,0.74953,0.7293282876064333,0,0.0,1,1,1.5500000000000003,5.0,90.0,0,1.0,4.375533721321344,0,5,1,1,0.74953,1991,90.0,0,1.3403453060835453,33,5.0,0,5
16,0.38383264462809913,2000000.0,1.93,0.9951205273522064,0.74953,0.3458373226111638,2,2.5749469667658396,8,9,-2.8439999999999985,2.4096385542168672,83.0,5,8.3,6.617402977974478,2,36,3,1,0.45796283,1998,747.0,0,1.6154348196658277,26,4.337349397590361,2,20
